1237* SEE
1638* 147-14-8
1552* 148-01-6
0446* 148-18-5
1183* 149-30-4
0477* 149-57-5
1174* 149-91-7
1146* 150-75-4
1097* 150-76-5
1297* 150-78-7
0502* 151-21-3
0671* 151-50-8
0100* 151-56-4
0277* 151-67-7
1720* 156-43-4
1639* 156-62-7
0739* 191-24-2
0730* 193-39-5
0527* 203-12-3
0720* 205-99-2
0721* 207-08-9
1672* 218-01-9
1453* 238-84-6
0388* 271-89-6
0353* 287-92-3
1721* 288-32-4
0682* 288-88-0
0626* 298-00-0
1060* 298-02-2
1408* 298-04-4
1412* 298-07-7
1736* 299-28-5
0975* 299-84-3
1143* 299-86-5
0925* 300-76-5
0910* 301-04-2
0281* 302-01-2
0234* 302-17-0
1343* 306-83-2
0774* 309-00-2
1448* 314-40-9
0795* 319-84-6
0796* 319-85-7
1300* 330-55-2
1088* 333-20-0
0137* 333-41-5
1256* 334-88-3
1613* 335-67-1
0633* 353-50-4
0635* 353-59-3
1017* 357-57-3
0093* 366-18-7
1216* 382-21-8
1061* 409-21-2
0424* 420-04-2
1168* 431-03-8
1390* 460-19-5
0650* 461-58-5
0812* 463-51-4
1671* 463-56-9
1305* 470-90-6
1193* 471-34-1
0959* 479-45-8
0835* 485-31-4
0766* 485-47-2
1135* 497-19-8
0990* 501-53-1
1741* 502-44-3
1630* 503-38-8
1157* 504-20-1
0214* 504-29-0
1722* 504-60-9
0418* 505-60-2
0136* 506-68-3
1053* 506-77-4
0662* 506-78-5
0561* 506-93-4
0365* 506-96-7
1468* 509-14-8
0749* 510-15-6
0686* 512-56-1
0286* 513-36-0
0777* 513-77-9
1362* 526-73-8
1738* 526-95-4
1737* 527-07-1
0460* 528-29-0
0128* 532-27-4
1536* 532-32-1
0786* 533-74-4
0462* 534-52-1
0375* 536-90-3
1655* 538-07-8
0436* 540-59-0
0675* 540-72-7
1662* 540-73-8
0496* 540-84-1
1445* 540-88-5
1025* 541-41-3
1095* 541-73-1
1391* 541-85-5
1651* 542-56-3
0995* 542-75-6
1632* 542-78-9
0237* 542-88-1
0857* 542-92-7
1594* 543-27-1
1083* 543-49-7
1073* 543-80-6
1075* 543-90-8
1634* 544-17-2
0969* 546-93-0
0345* 552-30-7
0141* 554-00-7
1029* 554-12-1
1109* 554-13-2
0159* 556-52-5
0310* 556-67-2
1760* 556-82-1
1403* 557-04-0
0987* 557-05-1
1071* 557-40-4
0474* 558-13-4
0888* 563-12-2
1341* 563-47-3
0922* 563-80-4
1504* 581-89-5
0294* 583-59-5
0439* 583-78-8
0536* 584-02-1
0395* 584-03-2
1588* 584-08-7
0212* 584-79-2
0213* 584-79-2
0227* 584-79-2
0339* 584-84-9
0296* 589-91-3
0556* 590-01-2
0397* 590-18-1
0293* 590-67-0
1748* 590-86-3
1078* 590-88-5
0295* 591-23-1
0440* 591-35-5
0658* 591-76-4
0489* 591-78-6
0407* 592-01-8
0731* 592-27-8
1593* 592-34-7
0490* 592-41-6
0762* 592-57-4
0402* 592-84-7
0597* 593-60-2
1304* 593-74-8
0311* 594-42-3
0434* 594-72-9
1074* 598-31-2
0999* 598-63-0
0644* 598-78-7
1423* 600-25-9
0253* 601-88-7
0726* 602-01-7
1366* 603-34-9
0700* 603-35-0
0728* 606-20-2
0140* 608-27-5
0143* 608-31-1
1564* 608-71-9
0487* 608-73-1
0531* 608-93-5
0729* 610-39-9
0722* 610-40-2
0252* 611-06-3
0733* 611-15-4
1763* 611-19-8
1678* 613-35-4
1578* 615-05-4
1544* 615-50-9
1080* 616-38-6
0562* 616-45-5
0255* 618-62-2
1591* 619-15-8
0426* 622-45-7
0735* 622-97-9
0943* 623-84-7
0386* 624-18-0
0398* 624-64-6
0004* 624-83-9
1586* 624-92-0
1583* 626-17-5
0219* 626-38-0
0488* 626-93-7
1513* 627-13-4
0218* 628-63-7
1056* 628-96-6
0491* 629-11-8
1569* 629-14-1
0023* 630-08-0
1486* 630-20-6
1706* 637-92-3
1424* 638-21-1
0580* 640-15-3
1434* 640-19-7
1139* 650-51-1
1280* 674-82-8
0162* 680-31-9
1188* 681-84-5
1057* 684-16-2
1289* 688-84-6
1473* 693-21-0
0552* 709-98-8
1526* 712-48-1
0543* 732-11-6
0383* 741-58-2
0469* 759-94-4
0909* 768-52-5
0410* 786-19-6
1635* 793-24-8
1281* 811-97-2
0256* 818-08-6
1723* 818-61-1
0278* 822-06-0
0340* 823-40-5
0804* 836-30-6
0429* 867-27-6
1724* 868-77-9
1599* 868-85-9
1477* 872-05-9
0513* 872-50-4
0736* 873-66-5
0705* 919-86-8
1637* 924-42-5
1761* 926-57-8
0590* 933-75-5
0589* 933-78-8
0573* 935-95-5
0708* 944-22-9
1659* 950-37-8
0763* 957-51-7
1587* 993-00-0
1496* 994-05-8
1147* 998-30-1
0899* 999-61-1
0781* 999-81-5
1333* 1066-33-7
0160* 1071-83-6
1036* 1113-38-8
1566* 1120-36-1
1524* 1120-71-4
1689* 1163-19-5
1533* 1189-85-1
0867* 1194-65-6
1676* 1239-45-8
0601* 1300-71-6
1514* 1300-72-7
0600* 1300-73-8
0566* 1302-42-7
0384* 1302-78-9
0377* 1303-28-2
0836* 1303-86-2
0567* 1303-96-4
0778* 1304-28-5
0381* 1304-29-6
1325* 1304-56-9
0408* 1305-62-0
0409* 1305-78-8
1126* 1305-99-3
0117* 1306-19-0
0404* 1306-23-6
1551* 1307-96-6
0785* 1308-04-9
1455* 1308-14-1
1531* 1308-38-9
1577* 1309-37-1
0504* 1309-48-4
1001* 1309-60-0
0012* 1309-64-4
0357* 1310-58-3
0913* 1310-65-2
0914* 1310-66-3
0360* 1310-73-2
0549* 1312-73-8
0175* 1313-13-9
1653* 1313-59-3
1606* 1313-60-6
1047* 1313-82-2
0926* 1313-99-1
0208* 1314-13-2
0455* 1314-34-7
1002* 1314-41-6
0545* 1314-56-3
0596* 1314-62-1
1407* 1314-80-3
0602* 1314-84-7
1627* 1314-98-3
1398* 1317-35-7
0288* 1317-36-8
0421* 1317-39-1
1529* 1317-42-6
0935* 1321-64-8
0962* 1321-65-9
0885* 1321-74-0
1172* 1323-65-5
0378* 1327-53-3
1229* 1330-43-4
1144* 1332-58-7
0001* 1333-74-0
1194* 1333-82-0
0471* 1333-86-4
0997* 1335-87-1
1387* 1335-88-2
0215* 1336-21-6
0303* 1338-02-9
1028* 1338-23-4
1654* 1338-24-5
1137* 1344-09-8
0351* 1344-28-1
1251* 1344-57-6
1038* 1344-81-6
1401* 1344-95-2
0793* 1345-25-1
1620* 1455-21-6
1462* 1477-55-0
1750* 1559-34-8
0122* 1563-66-2
1573* 1569-02-4
0032* 1569-69-3
1476* 1570-64-5
0205* 1582-09-8
1506* 1592-23-0
0978* 1600-27-7
1695* 1633-05-2
1164* 1634-04-4
1619* 1639-09-4
0151* 1675-54-3
0900* 1689-83-4
0443* 1702-17-6
1712* 1717-00-6
1467* 1746-01-6
1273* 1746-81-2
1345* 1806-26-4
0929* 1836-75-5
1007* 1885-14-9
0134* 1897-45-6
0005* 1910-42-5
0099* 1912-24-9
0202* 1912-26-1
0139* 1918-00-9
1246* 1918-02-1
0852* 1918-13-4
1658* 1929-82-4
0204* 1954-28-5
0097* 2032-59-9
1388* 2039-87-4
0537* 2050-92-2
0753* 2104-64-5
0368* 2156-96-9
1422* 2179-59-1
0135* 2210-79-9
1286* 2223-82-7
1059* 2234-13-1
0145* 2238-07-5
0668* 2243-62-1
0758* 2275-23-2
0201* 2303-17-5
0797* 2310-17-0
0119* 2425-06-1
0110* 2425-79-8
0115* 2426-08-6
0587* 2431-50-7
1274* 2451-62-9
1288* 2499-95-8
0448* 2524-04-1
0571* 2551-62-4
1575* 2691-41-0
1580* 2696-92-6
1065* 2698-41-1
1402* 2699-79-8
